leaf1	leaf2	leaf3	leaf4
0.05	0.05	0.05	0.05	
0.0310967	0.0228235	0.0305916	0.0436989	
0.0458874	0.0341631	0.0480159	0.0386845	
0.0495551	0.0496152	0.0410173	0.0442039	
0.048064	0.0353535	0.0470899	0.0190717	
0.0257456	0.0356662	0.0452862	0.0176888	
0.0214286	0.0116041	0.0391895	0.0406085	
0.0406566	0.0370731	0.0313612	0.0447571	
0.023569	0.0494709	0.0206109	0.00963203	
0.0154401	0.00416065	0.0337662	0.0288961	
0.00652958	0.0286676	0.0306878	0.0222222	
0.00223665	0.0200457	0.0457672	0.0248797	
0.0455026	0.00372775	0.00756373	0.044721	
0.0429774	0.0100168	0.0496873	0.0264069	
0.0499038	0.0332371	0.026443	0.0468735	
0.0304113	0.0175325	0.00525493	0.00526696	
0.0192881	0.00690236	0.00666186	0.0197932	
0.031265	0.0161616	0.00815296	0.045202	
0.0280063	0.0402718	0.00981241	0.0210798	
0.0334536	0.0169072	0.0356181	0.0184824	
0.0179894	0.00578403	0.00881433	0.00572391	
0.0185185	0.00977633	0.0237253	0.00721501	
0.0119408	0.00927128	0.027417	0.0111231	
0.0172318	0.0104858	0.0046176	0.00227273	
0.0329846	0.00869408	0.0166667	0.0478956	
0.0465368	0.0041366	0.0281626	0.0150914	
0.00526696	0.00460558	0.0261304	0.0272848	
0.0292569	0.0179293	0.0299062	0.0348485	
0.0025012	0.0441679	0.0373737	0.0453223	
0.0149591	0.00550746	0.0186748	0.00217653	
0.0333213	0.00583213	0.0387686	0.0116162	
0.00786436	0.00681818	0.0148028	0.00505051	
0.0232564	0.0113276	0.00882636	0.0245791	
0.0411736	0.00561568	0.00329485	0.030784	
0.0492785	0.0270202	0.0459355	0.0037518	
0.00992063	0.0277658	0.0202862	0.0243386	
0.0497475	0.0469216	0.0404521	0.023569	
0.0429173	0.00224868	0.0425445	0.0156926	
0.0477633	0.0291967	0.0187229	0.0448773	
0.0175926	0.0223906	0.0346441	0.0341871	
0.0491823	0.0325637	0.0373256	0.0465849	
0.0195767	0.0246513	0.0324315	0.0181818	
0.00542328	0.0484969	0.0289442	0.0224868	
0.0443242	0.0477994	0.00723906	0.0101852	
0.0004329	0.000937951	0.000372775	0.0019721	
0.00726311	0.00568783	0.00949976	0.00561568	
0.0122535	0.00477393	0.0354377	0.0219216	
0.0313131	0.00640933	0.0227994	0.0117605	
0.046621	0.0106301	0.0345238	0.0215488	
0.0342352	0.0498076	0.00649351	0.029786	
0.0493506	0.0429413	0.0382876	0.0135161	
0.0267677	0.00227273	0.0103175	0.00800866	
0.00151515	0.00140693	0.00165945	0.00180375	
0.019216	0.0138528	0.0198052	0.0124098	
0.0165584	0.0128668	0.0174002	0.0410895	
0.0330327	0.0156806	0.037999	0.0399711	
0.0390813	0.0317581	0.0400192	0.0421958	
0.0445286	0.0431698	0.040392	0.0459957	
0.0318663	0.0043771	0.0370731	0.0304233	
0.0323834	0.00572391	0.0440236	0.0154161	
0.0343314	0.0163901	0.0209836	0.0236652	
0.0151154	0.0433983	0.033646	0.0352573	
0.0456469	0.0367725	0.0322992	0.0268519	
0.0240741	0.0110269	0.0339947	0.0142857	
0.0234367	0.0268158	0.00549543	0.0196248	
0.0339226	0.0238095	0.00734728	0.0263468	
0.0017797	0.00176768	0.00150313	0.0017797	
0.0361352	0.0234367	0.00931938	0.0318783	
0.014923	0.033177	0.00571188	0.0303511	
0.0151395	0.00630111	0.00315055	0.0435426	
0.0442761	0.00462963	0.0424122	0.0425685	
0.0233405	0.0344998	0.00511063	0.0278139	
0.026431	0.026936	0.0106662	0.0424122	
0.00600048	0.0029341	0.0228716	0.00705868	
0.0424844	0.0300866	0.00746753	0.032227	
0.0207912	0.0416065	0.0372054	0.0107263	
0.0337061	0.00987253	0.0462963	0.0428692	
0.0321308	0.0283189	0.0467051	0.0371813	
0.040849	0.0157287	0.0204906	0.0322992	
0.0461039	0.0448894	0.0283069	0.0416787	
0.00386003	0.0241101	0.013937	0.00945166	
0.00982443	0.0324074	0.0181337	0.0293531	
0.0289442	0.0205628	0.0193963	0.018278	
0.0232804	0.0364478	0.017304	0.0257215	
0.041823	0.0038961	0.0118206	0.0232203	
0.0198052	0.0316739	0.0374098	0.0374699	
0.0481602	0.0468975	0.0443242	0.0270924	
0.0311929	0.0460438	0.0215729	0.0262145	
0.0236532	0.0228956	0.0275613	0.0308802	
0.0358826	0.0472823	0.037975	0.0222823	
0.000577201	0.00161135	0.000565176	0.00143098	
0.00815296	0.0121813	0.0223184	0.015885	
0.0302309	0.037975	0.0374579	0.0199254	
0.0286075	0.0152237	0.0169553	0.0406205	
0.0482203	0.0155243	0.00477393	0.0120611	
0.0257335	0.0443963	0.0117124	0.031734	
0.0258538	0.0390933	0.0300986	0.0400673	
0.0314334	0.0489418	0.0172799	0.0332973	
0.0321429	0.00703463	0.0398509	0.0294493	
0.0181457	0.0134319	0.0199254	0.0324555	
0.032684	0.0497835	0.0217653	0.036532	
0.0324074	0.0419072	0.0426647	0.0382756	
0.0293891	0.0459355	0.0257576	0.0494108	
