#chro	start	end	|diff|	pval	padj	annotation
19	4250000	4275000	0.019795	0.000351258	0.00195699	created in CN
19	4750000	4775000	0.0195557	0.000418252	0.00202151	deleted in CN
19	6350000	6375000	0.0432202	2.64661e-16	0.000430108	created in CN
19	7050000	7075000	0.0170377	0.00230208	0.00255914	created in CN
19	7500000	7525000	0.0190203	0.00061326	0.00217204	created in CN
19	9825000	9850000	0.0642385	2.89901e-35	0.000258065	created in CN
19	11775000	11800000	0.0253983	3.14124e-06	0.00122581	deleted in CN
19	12450000	12475000	0.036234	1.05578e-11	0.000666667	deleted in CN
19	12850000	12875000	0.0237256	1.45807e-05	0.00148387	created in CN
19	13900000	13925000	0.0190819	0.00058718	0.00212903	shifted
19	13975000	14000000	0.0773122	5.94391e-51	0.000150538	shifted
19	14600000	14625000	0.0984134	1.35825e-82	6.45161e-05	created in CN
19	21275000	21300000	0.0186974	0.000768426	0.00223656	created in CN
19	23550000	23575000	0.0198771	0.000330662	0.00191398	deleted in CN
19	24900000	24925000	0.0501572	1.03814e-21	0.000301075	shifted
19	24925000	24950000	0.0200891	0.000282569	0.00189247	shifted
19	25675000	25700000	0.0345307	1.04083e-10	0.000774194	deleted in CN
19	26200000	26225000	0.0246719	6.20048e-06	0.00133333	deleted in CN
19	26725000	26750000	0.0251222	4.07742e-06	0.00124731	created in CN
19	27225000	27250000	0.0451312	1.03961e-17	0.000387097	created in CN
19	27700000	27725000	0.0187008	0.000766632	0.00221505	deleted in CN
19	29050000	29075000	0.0211376	0.000126649	0.00176344	deleted in CN
19	30850000	30875000	0.0189398	0.000648985	0.00219355	created in CN
19	31675000	31700000	0.0326023	1.20843e-09	0.000817204	created in CN
19	32125000	32150000	0.0381839	6.67416e-13	0.000580645	deleted in CN
19	32475000	32500000	0.036578	6.55783e-12	0.000645161	deleted in CN
19	36450000	36475000	0.0223637	4.69691e-05	0.00165591	shifted
19	36525000	36550000	0.0227515	3.39116e-05	0.0015914	shifted
19	38400000	38425000	0.0384822	4.3163e-13	0.000537634	created in CN
19	38975000	39000000	0.149841	1.84196e-192	2.15054e-05	deleted in CN
19	40575000	40600000	0.0178808	0.00133561	0.00236559	created in CN
19	40750000	40775000	0.0352491	4.02049e-11	0.000731183	deleted in CN
19	41050000	41075000	0.0255004	2.84997e-06	0.0012043	created in CN
19	41275000	41300000	0.0259085	1.92448e-06	0.00113978	deleted in CN
19	41800000	41825000	0.0301121	2.30606e-08	0.00088172	deleted in CN
19	45225000	45250000	0.042754	5.70216e-16	0.000451613	created in CN
19	52975000	53000000	0.0393914	1.11902e-13	0.000494624	shifted
19	53000000	53025000	0.0279767	2.38e-07	0.000967742	shifted
19	53375000	53400000	0.0500888	1.18484e-21	0.000322581	deleted in CN
19	54050000	54075000	0.0451817	9.52484e-18	0.000365591	created in CN
19	55900000	55925000	0.0178545	0.00135909	0.0023871	created in CN
19	57650000	57675000	0.0797164	3.65735e-54	0.000129032	shifted
19	57675000	57700000	0.0216102	8.70071e-05	0.00169892	shifted
19	58475000	58500000	0.023679	1.5194e-05	0.00150538	created in CN
19	61100000	61125000	0.0375928	1.56621e-12	0.000602151	deleted in CN
