#chro	start	end	|diff|	pval	padj	annotation
19	4250000	4275000	0.0140585	6.71878e-06	0.00124731	created in CN
19	4750000	4775000	0.0269687	3.03583e-19	0.000387097	deleted in CN
19	6350000	6375000	0.021982	4.73707e-13	0.000580645	shifted
19	6375000	6400000	0.0220531	3.94853e-13	0.00055914	shifted
19	10975000	11000000	0.00978405	0.00218309	0.00227957	created in CN
19	23975000	24000000	0.0138111	9.95399e-06	0.00129032	created in CN
19	25675000	25700000	0.011803	0.000185374	0.00163441	deleted in CN
19	28025000	28050000	0.013657	1.26709e-05	0.00131183	created in CN
19	30850000	30875000	0.0130935	2.9889e-05	0.00139785	created in CN
19	32475000	32500000	0.018515	1.61677e-09	0.00083871	deleted in CN
19	36450000	36475000	0.0120957	0.000124669	0.0015914	deleted in CN
19	37550000	37575000	0.0117287	0.000204705	0.00167742	deleted in CN
19	38400000	38425000	0.0123992	8.17414e-05	0.00150538	created in CN
19	41275000	41300000	0.028687	1.10422e-21	0.00027957	deleted in CN
19	45225000	45250000	0.0361974	3.46378e-34	0.000150538	created in CN
19	49975000	50000000	0.0170629	3.17082e-08	0.000924731	deleted in CN
19	50700000	50725000	0.0281252	7.20812e-21	0.000322581	deleted in CN
19	53375000	53400000	0.0189643	6.11369e-10	0.000774194	deleted in CN
19	58475000	58500000	0.0115272	0.000266985	0.00172043	created in CN
19	60875000	60900000	0.0135244	1.55598e-05	0.00133333	created in CN
