#chro	start	end	ES	NPC	CN
19	3000000	3100000	B	B	B
19	3100000	3200000	B	B	B
19	3200000	3300000	A	B	B
19	3300000	3400000	A	B	A
19	3400000	3500000	A	A	A
19	3500000	3600000	A	A	A
19	3600000	3700000	A	A	A
19	3700000	3800000	A	A	A
19	3800000	3900000	A	A	A
19	3900000	4000000	A	A	A
19	4000000	4100000	A	A	A
19	4100000	4200000	A	A	A
19	4200000	4300000	A	A	A
19	4300000	4400000	A	A	A
19	4400000	4500000	A	A	A
19	4500000	4600000	A	A	A
19	4600000	4700000	A	A	A
19	4700000	4800000	A	A	A
19	4800000	4900000	A	A	A
19	4900000	5000000	A	A	A
19	5000000	5100000	A	A	A
19	5100000	5200000	A	A	A
19	5200000	5300000	A	A	A
19	5300000	5400000	A	A	A
19	5400000	5500000	A	A	A
19	5500000	5600000	A	A	A
19	5600000	5700000	A	A	A
19	5700000	5800000	A	A	A
19	5800000	5900000	A	A	A
19	5900000	6000000	A	A	A
19	6000000	6100000	A	A	A
19	6100000	6200000	A	A	A
19	6200000	6300000	A	A	A
19	6300000	6400000	A	A	A
19	6400000	6500000	A	A	A
19	6500000	6600000	A	A	A
19	6600000	6700000	A	A	A
19	6700000	6800000	N/A	N/A	N/A
19	6800000	6900000	A	A	A
19	6900000	7000000	A	A	A
19	7000000	7100000	A	A	A
19	7100000	7200000	A	A	A
19	7200000	7300000	A	A	A
19	7300000	7400000	A	A	A
19	7400000	7500000	A	A	A
19	7500000	7600000	A	B	B
19	7600000	7700000	B	B	B
19	7700000	7800000	B	B	B
19	7800000	7900000	B	B	B
19	7900000	8000000	B	B	B
19	8000000	8100000	B	B	B
19	8100000	8200000	B	B	B
19	8200000	8300000	B	B	B
19	8300000	8400000	B	B	B
19	8400000	8500000	B	B	B
19	8500000	8600000	B	B	B
19	8600000	8700000	A	B	B
19	8700000	8800000	A	A	A
19	8800000	8900000	A	A	A
19	8900000	9000000	A	A	A
19	9000000	9100000	A	A	A
19	9100000	9200000	B	B	B
19	9200000	9300000	B	B	B
19	9300000	9400000	B	B	B
19	9400000	9500000	B	B	B
19	9500000	9600000	B	B	B
19	9600000	9700000	B	B	B
19	9700000	9800000	B	B	B
19	9800000	9900000	A	B	B
19	9900000	10000000	A	A	A
19	10000000	10100000	A	A	A
19	10100000	10200000	A	A	A
19	10200000	10300000	A	A	A
19	10300000	10400000	A	A	A
19	10400000	10500000	A	A	A
19	10500000	10600000	A	A	A
19	10600000	10700000	A	A	A
19	10700000	10800000	A	A	A
19	10800000	10900000	A	A	A
19	10900000	11000000	A	A	A
19	11000000	11100000	B	B	B
19	11100000	11200000	B	B	B
19	11200000	11300000	A	B	B
19	11300000	11400000	B	B	B
19	11400000	11500000	B	B	B
19	11500000	11600000	B	B	B
19	11600000	11700000	B	B	B
19	11700000	11800000	B	B	B
19	11800000	11900000	A	B	B
19	11900000	12000000	A	A	A
19	12000000	12100000	A	B	B
19	12100000	12200000	B	B	B
19	12200000	12300000	B	B	B
19	12300000	12400000	B	B	B
19	12400000	12500000	B	B	B
19	12500000	12600000	B	B	B
19	12600000	12700000	B	B	B
19	12700000	12800000	A	B	B
19	12800000	12900000	B	B	B
19	12900000	13000000	B	B	B
19	13000000	13100000	B	B	B
19	13100000	13200000	B	B	B
19	13200000	13300000	B	B	B
19	13300000	13400000	B	B	B
19	13400000	13500000	B	B	B
19	13500000	13600000	B	B	B
19	13600000	13700000	B	B	B
19	13700000	13800000	B	B	B
19	13800000	13900000	B	B	B
19	13900000	14000000	B	B	B
19	14000000	14100000	B	A	A
19	14100000	14200000	B	A	A
19	14200000	14300000	B	A	A
19	14300000	14400000	B	A	A
19	14400000	14500000	A	A	A
19	14500000	14600000	A	A	A
19	14600000	14700000	A	A	A
19	14700000	14800000	A	A	A
19	14800000	14900000	A	A	A
19	14900000	15000000	B	A	A
19	15000000	15100000	B	A	A
19	15100000	15200000	B	B	A
19	15200000	15300000	B	B	A
19	15300000	15400000	B	B	A
19	15400000	15500000	B	B	A
19	15500000	15600000	B	B	A
19	15600000	15700000	B	B	A
19	15700000	15800000	B	B	A
19	15800000	15900000	B	B	B
19	15900000	16000000	A	A	B
19	16000000	16100000	A	A	B
19	16100000	16200000	A	A	A
19	16200000	16300000	A	A	A
19	16300000	16400000	A	A	A
19	16400000	16500000	A	A	A
19	16500000	16600000	A	A	B
19	16600000	16700000	A	A	B
19	16700000	16800000	A	A	B
19	16800000	16900000	A	A	B
19	16900000	17000000	A	B	B
19	17000000	17100000	A	B	B
19	17100000	17200000	A	B	B
19	17200000	17300000	A	B	B
19	17300000	17400000	A	B	B
19	17400000	17500000	B	B	B
19	17500000	17600000	B	B	B
19	17600000	17700000	B	B	B
19	17700000	17800000	B	B	B
19	17800000	17900000	B	B	B
19	17900000	18000000	B	B	B
19	18000000	18100000	B	B	B
19	18100000	18200000	B	B	B
19	18200000	18300000	B	B	B
19	18300000	18400000	B	B	B
19	18400000	18500000	B	B	B
19	18500000	18600000	B	B	B
19	18600000	18700000	A	A	B
19	18700000	18800000	A	B	B
19	18800000	18900000	B	B	B
19	18900000	19000000	B	B	B
19	19000000	19100000	B	B	B
19	19100000	19200000	B	B	B
19	19200000	19300000	B	B	B
19	19300000	19400000	B	B	B
19	19400000	19500000	B	B	B
19	19500000	19600000	B	B	B
19	19600000	19700000	B	B	B
19	19700000	19800000	B	B	B
19	19800000	19900000	B	B	B
19	19900000	20000000	B	B	B
19	20000000	20100000	B	B	B
19	20100000	20200000	B	B	B
19	20200000	20300000	B	B	B
19	20300000	20400000	B	B	B
19	20400000	20500000	B	B	B
19	20500000	20600000	B	B	B
19	20600000	20700000	B	B	B
19	20700000	20800000	B	B	B
19	20800000	20900000	B	B	B
19	20900000	21000000	A	B	B
19	21000000	21100000	B	B	B
19	21100000	21200000	B	B	B
19	21200000	21300000	A	A	B
19	21300000	21400000	B	B	B
19	21400000	21500000	B	B	B
19	21500000	21600000	B	B	B
19	21600000	21700000	A	A	A
19	21700000	21800000	A	A	A
19	21800000	21900000	A	A	A
19	21900000	22000000	B	B	A
19	22000000	22100000	B	B	A
19	22100000	22200000	B	B	A
19	22200000	22300000	B	B	B
19	22300000	22400000	B	B	B
19	22400000	22500000	B	B	B
19	22500000	22600000	B	B	A
19	22600000	22700000	B	A	A
19	22700000	22800000	B	A	A
19	22800000	22900000	B	A	A
19	22900000	23000000	A	A	A
19	23000000	23100000	A	A	A
19	23100000	23200000	A	A	A
19	23200000	23300000	A	A	A
19	23300000	23400000	A	A	A
19	23400000	23500000	A	A	A
19	23500000	23600000	A	A	A
19	23600000	23700000	A	A	A
19	23700000	23800000	A	A	A
19	23800000	23900000	A	A	A
19	23900000	24000000	A	A	A
19	24000000	24100000	A	A	A
19	24100000	24200000	A	A	A
19	24200000	24300000	A	A	A
19	24300000	24400000	A	A	A
19	24400000	24500000	A	A	A
19	24500000	24600000	A	A	A
19	24600000	24700000	A	A	A
19	24700000	24800000	B	A	A
19	24800000	24900000	B	A	A
19	24900000	25000000	A	A	A
19	25000000	25100000	A	A	A
19	25100000	25200000	A	A	A
19	25200000	25300000	A	A	A
19	25300000	25400000	A	A	A
19	25400000	25500000	A	A	A
19	25500000	25600000	A	A	A
19	25600000	25700000	A	A	A
19	25700000	25800000	B	B	B
19	25800000	25900000	B	B	B
19	25900000	26000000	B	B	B
19	26000000	26100000	B	B	B
19	26100000	26200000	B	B	B
19	26200000	26300000	B	B	B
19	26300000	26400000	B	B	B
19	26400000	26500000	B	A	A
19	26500000	26600000	B	A	A
19	26600000	26700000	B	A	A
19	26700000	26800000	B	A	A
19	26800000	26900000	B	A	A
19	26900000	27000000	B	A	A
19	27000000	27100000	B	A	A
19	27100000	27200000	B	A	A
19	27200000	27300000	B	A	A
19	27300000	27400000	A	A	A
19	27400000	27500000	A	A	A
19	27500000	27600000	B	A	A
19	27600000	27700000	B	A	A
19	27700000	27800000	B	A	A
19	27800000	27900000	B	A	A
19	27900000	28000000	A	A	A
19	28000000	28100000	B	A	A
19	28100000	28200000	B	A	A
19	28200000	28300000	B	A	A
19	28300000	28400000	B	A	A
19	28400000	28500000	B	A	A
19	28500000	28600000	A	A	A
19	28600000	28700000	A	A	A
19	28700000	28800000	A	A	A
19	28800000	28900000	A	A	A
19	28900000	29000000	A	A	A
19	29000000	29100000	A	A	A
19	29100000	29200000	A	A	A
19	29200000	29300000	A	A	A
19	29300000	29400000	A	A	A
19	29400000	29500000	A	A	A
19	29500000	29600000	A	A	A
19	29600000	29700000	A	A	A
19	29700000	29800000	A	A	A
19	29800000	29900000	A	A	A
19	29900000	30000000	A	A	A
19	30000000	30100000	A	A	A
19	30100000	30200000	A	A	A
19	30200000	30300000	A	A	B
19	30300000	30400000	B	B	B
19	30400000	30500000	B	A	B
19	30500000	30600000	B	A	B
19	30600000	30700000	B	B	B
19	30700000	30800000	B	B	B
19	30800000	30900000	B	B	B
19	30900000	31000000	B	B	B
19	31000000	31100000	B	A	A
19	31100000	31200000	B	B	B
19	31200000	31300000	B	B	B
19	31300000	31400000	B	B	B
19	31400000	31500000	B	B	B
19	31500000	31600000	B	B	B
19	31600000	31700000	B	B	B
19	31700000	31800000	B	B	B
19	31800000	31900000	B	B	B
19	31900000	32000000	B	B	B
19	32000000	32100000	B	B	B
19	32100000	32200000	A	A	A
19	32200000	32300000	A	A	A
19	32300000	32400000	A	A	A
19	32400000	32500000	A	A	B
19	32500000	32600000	A	A	B
19	32600000	32700000	A	A	B
19	32700000	32800000	A	A	A
19	32800000	32900000	A	A	A
19	32900000	33000000	A	A	B
19	33000000	33100000	B	A	B
19	33100000	33200000	B	A	B
19	33200000	33300000	A	A	B
19	33300000	33400000	B	B	B
19	33400000	33500000	B	B	B
19	33500000	33600000	B	B	B
19	33600000	33700000	B	B	B
19	33700000	33800000	B	B	B
19	33800000	33900000	B	B	B
19	33900000	34000000	B	B	B
19	34000000	34100000	B	B	B
19	34100000	34200000	B	B	B
19	34200000	34300000	B	B	B
19	34300000	34400000	B	B	B
19	34400000	34500000	B	B	B
19	34500000	34600000	B	B	B
19	34600000	34700000	A	B	B
19	34700000	34800000	B	B	B
19	34800000	34900000	A	A	B
19	34900000	35000000	A	A	B
19	35000000	35100000	B	B	B
19	35100000	35200000	B	B	B
19	35200000	35300000	B	B	B
19	35300000	35400000	B	B	B
19	35400000	35500000	B	B	B
19	35500000	35600000	B	B	B
19	35600000	35700000	B	B	B
19	35700000	35800000	B	B	B
19	35800000	35900000	B	B	B
19	35900000	36000000	B	B	B
19	36000000	36100000	B	B	B
19	36100000	36200000	B	B	B
19	36200000	36300000	B	B	B
19	36300000	36400000	B	B	B
19	36400000	36500000	A	B	B
19	36500000	36600000	A	A	B
19	36600000	36700000	B	A	A
19	36700000	36800000	A	A	A
19	36800000	36900000	A	A	A
19	36900000	37000000	A	A	A
19	37000000	37100000	A	A	A
19	37100000	37200000	A	A	A
19	37200000	37300000	A	A	A
19	37300000	37400000	A	A	A
19	37400000	37500000	A	A	B
19	37500000	37600000	A	A	A
19	37600000	37700000	A	A	A
